id,supply_summary_id,supply_activity_item_log_id,supply_activity_item_log_created_at,error_message,created_at,created_by
20d384ed-9dda-4915-848f-e049246e65e0,25597724-2353-11ef-8f8d-6c6a770b1e17,9f99c960-8b4f-4d15-baf4-98e3d45007e8,2024-04-16T17:20:08.904+0530,Source updated at time is after event generated at time,2024-04-16T17:20:08.927+0530,GIV
63fe57b2-d783-411c-94bc-2b88eb3ee4fd,25597725-2353-11ef-b453-6c6a770b1e17,d0c117ba-cf2b-4f55-ae12-172bfaebed99,2024-04-16T18:50:46.280+0530,Quantity cannot be negative or decimal,2024-04-16T18:50:46.288+0530,GIV
9b9cf31d-9b1e-427a-ad6b-e248754c2410,25597726-2353-11ef-bea4-6c6a770b1e17,311c2c20-f016-401d-a3c8-25dc978043ba,2024-04-16T19:01:12.895+0530,Quantity cannot be negative or decimal,2024-04-16T19:01:12.902+0530,GIV
049da32e-55d3-4a79-9a7d-82c3572e35a0,25597727-2353-11ef-b3bf-6c6a770b1e17,ffc752a7-5dca-41c4-8e52-67cf2dd5c9b1,2024-04-16T22:59:33.047+0530,Quantity cannot be negative or decimal,2024-04-16T22:59:33.075+0530,GIV
bd773005-4539-4417-8b5d-d63f38d74b0f,25597728-2353-11ef-8c42-6c6a770b1e17,fdacaaa9-3a6f-40b8-b6c4-83c9a2297d84,2024-04-16T23:26:54.753+0530,Source updated at time is in future,2024-04-16T23:26:54.760+0530,GIV
b261be81-7267-4b00-afbb-881986bbd783,25597729-2353-11ef-855c-6c6a770b1e17,b59375e0-ef9e-4477-a8e7-42f7b599d846,2024-04-16T23:32:04.444+0530,Source updated at time is in future,2024-04-16T23:32:04.452+0530,GIV
0a3440fb-d7de-4e64-95d2-dd289cf47c52,2559772a-2353-11ef-96ce-6c6a770b1e17,64d4a366-1168-40c2-9d5a-204266255d6c,2024-04-17T10:51:38.624+0530,Source updated at time is in future,2024-04-17T10:51:38.794+0530,GIV
ec45c986-a019-4ded-be6f-8195f141b9e2,2559772b-2353-11ef-80a1-6c6a770b1e17,66248640-0754-486a-a5a1-8d7371ae9e43,2024-04-17T11:43:03.747+0530,Source updated at time is in future,2024-04-17T11:43:03.755+0530,GIV
894fda6e-ac95-47d4-88b0-0be7dd095370,2559772c-2353-11ef-8959-6c6a770b1e17,2fde95f1-8690-4e2b-af4b-f93de0f9b698,2024-04-17T15:15:38.213+0530,Quantity cannot be negative or decimal,2024-04-17T15:15:38.227+0530,GIV
83278c24-6749-44f8-ad15-4c00f808b69e,2559772d-2353-11ef-8300-6c6a770b1e17,f25228ee-8d7e-424b-8789-64bba3556861,2024-04-18T10:22:14.458+0530,Quantity cannot be negative or decimal,2024-04-18T10:22:14.477+0530,GIV
ba48ffb1-4789-4500-b4dd-e677d89e3e63,2559772e-2353-11ef-b99b-6c6a770b1e17,94bf62c5-02b2-4641-8950-ecaa2a19c27d,2024-04-18T11:33:20.290+0530,Quantity cannot be negative or decimal,2024-04-18T11:33:20.307+0530,GIV
3a15ceab-f472-43f9-933e-a34d5edeaef8,2559772f-2353-11ef-9565-6c6a770b1e17,528f94ae-cdbb-45c0-8108-2e821b58eb76,2024-04-18T12:53:53.318+0530,Quantity cannot be negative or decimal,2024-04-18T12:53:53.334+0530,GIV
31119298-81b1-4c73-81b5-0ffbbd49b9b5,25597730-2353-11ef-ae4f-6c6a770b1e17,fd85f507-711f-417c-a745-472674933e3b,2024-04-18T15:40:03.110+0530,Quantity cannot be negative or decimal,2024-04-18T15:40:03.146+0530,GIV
237cb783-1f41-4dfb-bc77-7626a2adba99,25597731-2353-11ef-a760-6c6a770b1e17,27f17602-7593-4c97-b6c6-d848a6e5111c,2024-04-18T15:49:58.445+0530,Quantity cannot be negative or decimal,2024-04-18T15:49:58.458+0530,GIV
8055bfdf-3e34-4a7e-9308-dc099efff025,25597732-2353-11ef-a227-6c6a770b1e17,bfcc7d7b-62d5-410b-9670-e89997c5db51,2024-04-18T15:49:58.445+0530,Source updated at time is in future,2024-04-18T15:49:58.458+0530,GIV
3c4ca052-501c-472b-b975-ad760ac4ddbe,25597733-2353-11ef-abe0-6c6a770b1e17,dbe8fd65-7046-4402-a488-eb4474d7476a,2024-04-18T15:49:58.445+0530,Source updated at time is after event generated at time,2024-04-18T15:49:58.458+0530,GIV
8c07d617-9fbd-46a6-b71d-8a8ca74dc377,25597734-2353-11ef-8fd8-6c6a770b1e17,8468d7f9-0535-4a78-892b-317e70d13f26,2024-04-18T15:56:51.727+0530,Quantity cannot be negative or decimal,2024-04-18T15:56:51.739+0530,GIV
187a64f2-665a-439d-a828-078d6795bf3d,25597735-2353-11ef-a8a7-6c6a770b1e17,9367e31d-12fa-402a-9ce5-bc3c5e8e24f8,2024-04-18T15:56:51.727+0530,Source updated at time is in future,2024-04-18T15:56:51.740+0530,GIV
89a5d800-1257-4b2c-97ee-a640eb6f6433,25597736-2353-11ef-af33-6c6a770b1e17,759178c3-17c5-4166-bf6a-163d2212f4e5,2024-04-18T16:27:58.305+0530,Quantity cannot be negative or decimal,2024-04-18T16:27:58.317+0530,GIV
5d5bc6c4-66a9-48e4-9155-e7d114b774e4,25597737-2353-11ef-88d1-6c6a770b1e17,61dacc28-d020-4429-ab9d-27060f14c77f,2024-04-18T16:27:58.305+0530,Source updated at time is in future,2024-04-18T16:27:58.317+0530,GIV
97c08662-a168-4073-bca4-c9abbfd26e36,25597738-2353-11ef-b644-6c6a770b1e17,e928114c-de45-4259-938e-af73a14dcbef,2024-04-18T18:04:51.927+0530,Quantity cannot be negative or decimal,2024-04-18T18:04:51.931+0530,GIV
9d7e0d6b-25f6-4282-b7e0-7c9e0856d5c8,25597739-2353-11ef-9539-6c6a770b1e17,dde96967-e9a1-4e45-8a34-eab178756915,2024-04-18T18:05:13.400+0530,Quantity cannot be negative or decimal,2024-04-18T18:05:13.403+0530,GIV
742b1112-6a66-4c8c-82c7-6a21338f3bc2,2559773a-2353-11ef-aac8-6c6a770b1e17,20463948-8b5f-45b3-8cf5-eded41394469,2024-04-18T18:05:21.756+0530,Source updated at time is in future,2024-04-18T18:05:21.759+0530,GIV
b64fc177-edc0-440e-8f5a-3a3a91b891ad,2559773b-2353-11ef-a4cc-6c6a770b1e17,03d01af8-a34f-4083-8649-dda9e75ad082,2024-04-18T18:25:16.566+0530,Quantity cannot be negative or decimal,2024-04-18T18:25:16.576+0530,GIV
3d02321a-c92e-431f-9022-8e367295db82,2559773c-2353-11ef-a2ee-6c6a770b1e17,75a3d5f1-8919-40f9-85f0-e7635c1e8a4e,2024-04-18T18:25:16.566+0530,Source updated at time is in future,2024-04-18T18:25:16.576+0530,GIV
a932cb5d-7530-4f34-8ae4-3d5710447804,2559773d-2353-11ef-b6ec-6c6a770b1e17,37ca32b3-4b60-473b-b98e-612f3f1d853a,2024-04-22T23:38:31.132+0530,Quantity cannot be negative or decimal,2024-04-22T23:38:31.208+0530,GIV
72eda3df-2733-4757-81fe-4a75a1f41b24,2559773e-2353-11ef-ab62-6c6a770b1e17,836b157e-f325-44d7-abef-99538c59fcea,2024-04-22T23:38:31.132+0530,Source updated at time is in future,2024-04-22T23:38:31.208+0530,GIV
fcf9cc5c-3a51-4c88-b9f9-fa367911abc9,2559773f-2353-11ef-8855-6c6a770b1e17,c96293fd-826f-4185-be10-26f8a1944455,2024-04-23T00:48:10.418+0530,Quantity cannot be negative or decimal,2024-04-23T00:48:10.441+0530,GIV
cd560c34-ada3-49f0-a777-0731b18ccf38,25597740-2353-11ef-b86d-6c6a770b1e17,de981209-26be-4f5c-86b6-8d4ed2b65381,2024-04-23T00:48:10.418+0530,Source updated at time is in future,2024-04-23T00:48:10.441+0530,GIV
4f26c0f8-f3c1-4354-8b8d-e47b20f36d3b,25597741-2353-11ef-9ba9-6c6a770b1e17,1913e62d-5a0c-4353-b681-7fa6fa1c79fa,2024-04-23T16:12:03.523+0530,Quantity cannot be negative or decimal,2024-04-23T16:12:03.579+0530,GIV
0b6e49a2-d35e-46bc-8333-717f1b1a3c76,25597742-2353-11ef-af8f-6c6a770b1e17,56c17373-eba6-4406-98a3-3dce5cd4c10b,2024-04-23T16:12:03.523+0530,Source updated at time is in future,2024-04-23T16:12:03.579+0530,GIV
d48de938-d834-496f-8490-e1e4f5e23a6a,25597743-2353-11ef-9a5f-6c6a770b1e17,06f0867d-0232-420a-a868-a6eb51c9dbf3,2024-04-24T07:58:17.138+0530,Quantity cannot be negative or decimal,2024-04-24T07:58:17.200+0530,GIV
62730c86-ab31-4b72-879d-e4c4f285767b,25597744-2353-11ef-9274-6c6a770b1e17,d6b4419f-10fc-422d-896a-b7002fda8908,2024-04-24T07:58:17.138+0530,Source updated at time is in future,2024-04-24T07:58:17.200+0530,GIV
