id,node_id,item_id,condition,supply_type,source_update_type,quantity,quantity_unit_of_measure,source_system,source_updated_at,created_at,created_by,supply_activity_log_job_id,supply_activity_log_created_at
9f99c960-8b4f-4d15-baf4-98e3d45007e8,PARIS###CL###3000,SKU01,NEW,ATP,ABSOLUTE,100.0,UNITS,PARIS_EOM,2024-04-16T17:15:28.353+0530,2024-04-16T17:20:08.904+0530,GIV,3dea7df4-235e-45e0-bb36-e81730c1abd9,2024-04-16T17:12:30.344+0530
d9302044-5c8b-408e-baa5-cd33a925d60e,PARIS###CL###3000,SKU01,NEW,ATP,ABSOLUTE,100.0,UNITS,PARIS_EOM,2024-04-15T17:15:28.353+0530,2024-04-16T17:20:28.728+0530,GIV,3dea7df4-235e-45e0-bb36-e81730c1abd9,2024-04-16T17:12:30.344+0530
0086cfe0-a305-42f4-8372-807ff82af768,PARIS###CL###3000,SKU01,NEW,ATP,ABSOLUTE,100.0,UNITS,PARIS_EOM,2024-04-15T17:15:28.353+0530,2024-04-16T17:20:35.799+0530,GIV,3dea7df4-235e-45e0-bb36-e81730c1abd9,2024-04-16T17:12:30.344+0530
3e08d48f-7ade-4245-bf2d-3992e7278bf3,PARIS###CL###3001,SKU001,NEW,ATP,ABSOLUTE,10.0,UNITS,PARIS_EOM,2024-04-15T12:57:27.007+0530,2024-04-16T17:37:46.438+0530,GIV,87576730-0e50-4e6b-89b5-c12387bb7670,2024-04-16T17:35:48.664+0530
723cf232-ee3d-427e-88e8-c988edb62656,PARIS###CL###3001,SKU001,NEW,ATP,ABSOLUTE,10.0,UNITS,PARIS_EOM,2024-04-15T12:57:27.007+0530,2024-04-16T17:38:12.194+0530,GIV,87576730-0e50-4e6b-89b5-c12387bb7670,2024-04-16T17:35:48.664+0530
3a600c47-ab79-4a31-a379-7a5fc8d3b7b7,PARIS###CL###3001,SKU001,NEW,ATP,ABSOLUTE,11.0,UNITS,PARIS_EOM,2024-04-15T12:57:27.007+0530,2024-04-16T17:39:28.376+0530,GIV,87576730-0e50-4e6b-89b5-c12387bb7670,2024-04-16T17:35:48.664+0530
febe0fc5-3846-44fc-b7fd-e2395dd31478,PARIS###CL###3001,SKU001,NEW,ATP,ABSOLUTE,15.0,UNITS,PARIS_EOM,2024-04-15T12:57:27.007+0530,2024-04-16T17:42:00.200+0530,GIV,87576730-0e50-4e6b-89b5-c12387bb7670,2024-04-16T17:35:48.664+0530
0729da14-0766-4472-b173-04305d59e91e,PARIS###CL###300,SKU100,NEW,ATP,ABSOLUTE,94.0,UNITS,PARIS_EOM,1998-05-31T07:22:35.934+0530,2024-04-16T18:41:55.331+0530,GIV,87576730-0e50-4e6b-89b5-c12387bb7670,2024-04-16T17:35:48.664+0530
f2434c0f-6c8f-4d7a-966d-554fd044d971,PARIS###CL###300,SKU100,NEW,ATP,ABSOLUTE,99.0,UNITS,PARIS_EOM,1998-05-31T07:22:35.934+0530,2024-04-16T18:44:41.880+0530,GIV,87576730-0e50-4e6b-89b5-c12387bb7670,2024-04-16T17:35:48.664+0530
5230d387-0ccc-4810-9b00-ea65df57da67,PARIS###CL###300,SKU100,NEW,ATP,ABSOLUTE,99.0,UNITS,PARIS_EOM,1998-05-31T07:22:35.934+0530,2024-04-16T18:44:53.324+0530,GIV,87576730-0e50-4e6b-89b5-c12387bb7670,2024-04-16T17:35:48.664+0530
b363578c-ef1f-47b2-a65d-807b6ac624d3,PARIS###CL###300,SKU100,NEW,ATP,ABSOLUTE,100.0,UNITS,PARIS_EOM,1998-05-31T07:22:35.934+0530,2024-04-16T18:45:05.990+0530,GIV,87576730-0e50-4e6b-89b5-c12387bb7670,2024-04-16T17:35:48.664+0530
98ba2c30-8454-4abc-b670-208b68073e0a,PARIS###CL###300,SKU100,NEW,ATP,ABSOLUTE,99.0,UNITS,PARIS_EOM,1998-05-31T07:22:35.934+0530,2024-04-16T18:45:12.875+0530,GIV,87576730-0e50-4e6b-89b5-c12387bb7670,2024-04-16T17:35:48.664+0530
0a482f7d-d93e-4cc3-95d5-54dc41e630c5,PARIS###CL###300,SKU100,NEW,ATP,ABSOLUTE,99.0,UNITS,PARIS_EOM,1998-05-31T07:22:35.934+0530,2024-04-16T18:45:20.590+0530,GIV,87576730-0e50-4e6b-89b5-c12387bb7670,2024-04-16T17:35:48.664+0530
cdc75eb3-ead3-4946-aefb-04d8d18451e7,PARIS###CL###300,SKU100,NEW,ATP,ABSOLUTE,99.0,UNITS,PARIS_EOM,1998-05-31T07:22:35.934+0530,2024-04-16T18:47:59.438+0530,GIV,87576730-0e50-4e6b-89b5-c12387bb7670,2024-04-16T17:35:48.664+0530
68ce812f-21e0-4cea-b1a2-78ba1f4f7927,PARIS###CL###300,SKU100,NEW,ATP,ABSOLUTE,99.0,UNITS,PARIS_EOM,1999-05-31T07:22:35.934+0530,2024-04-16T18:48:17.475+0530,GIV,87576730-0e50-4e6b-89b5-c12387bb7670,2024-04-16T17:35:48.664+0530
a1f4a29c-cfac-4c14-9ef6-044d0fb38f8d,PARIS###CL###300,SKU100,NEW,ATP,ABSOLUTE,97.0,UNITS,PARIS_EOM,1999-05-31T07:22:35.934+0530,2024-04-16T18:49:06.848+0530,GIV,87576730-0e50-4e6b-89b5-c12387bb7670,2024-04-16T17:35:48.664+0530
33e3b524-5ea2-42ee-9bc8-f26981beb6a1,PARIS###CL###300,SKU100,NEW,ATP,ABSOLUTE,97.0,UNITS,PARIS_EOM,1994-05-31T07:22:35.934+0530,2024-04-16T18:49:43.716+0530,GIV,87576730-0e50-4e6b-89b5-c12387bb7670,2024-04-16T17:35:48.664+0530
9d0663fa-800f-470f-a451-f85265c619fb,PARIS###CL###300,SKU100,NEW,ATP,ABSOLUTE,97.0,UNITS,PARIS_EOM,2000-05-31T07:22:35.934+0530,2024-04-16T18:50:03.607+0530,GIV,87576730-0e50-4e6b-89b5-c12387bb7670,2024-04-16T17:35:48.664+0530
0708f4ef-3004-43a1-b6cd-2af4d3869cfb,PARIS###CL###300,SKU100,NEW,ATP,ABSOLUTE,97.0,UNITS,PARIS_EOM,1999-05-31T07:22:35.934+0530,2024-04-16T18:50:37.935+0530,GIV,87576730-0e50-4e6b-89b5-c12387bb7670,2024-04-16T17:35:48.664+0530
d0c117ba-cf2b-4f55-ae12-172bfaebed99,PARIS###CL###300,SKU100,NEW,ATP,ABSOLUTE,97.1,UNITS,PARIS_EOM,1999-05-31T07:22:35.934+0530,2024-04-16T18:50:46.280+0530,GIV,87576730-0e50-4e6b-89b5-c12387bb7670,2024-04-16T17:35:48.664+0530
311c2c20-f016-401d-a3c8-25dc978043ba,PARIS###CL###300,SKU100,NEW,ATP,ABSOLUTE,97.1,UNITS,PARIS_EOM,1999-05-31T07:22:35.934+0530,2024-04-16T19:01:12.895+0530,GIV,3dea7df4-235e-45e0-bb36-e81730c1abd9,2024-04-16T17:12:30.344+0530
ffc752a7-5dca-41c4-8e52-67cf2dd5c9b1,PARIS_EOM###CL###string,string,NEW,ATP,ABSOLUTE,100.5,UNITS,PARIS,2019-08-24T19:45:22.000+0530,2024-04-16T22:59:33.047+0530,GIV,4a215e65-8517-4ce3-9ea0-1c8113186980,2024-04-16T22:53:05.813+0530
157997fb-e062-46a0-9d99-47d6459d91b3,PARIS_EOM###CL###3002,SKU001,NEW,ATP,ABSOLUTE,100.0,UNITS,PARIS,2019-08-24T19:45:22.000+0530,2024-04-16T23:01:13.547+0530,GIV,4a215e65-8517-4ce3-9ea0-1c8113186980,2024-04-16T22:53:05.813+0530
07719a38-0414-4500-9f77-ec01e23bdbd8,PARIS_EOM###CL###3002,SKU001,NEW,ATP,ABSOLUTE,111.0,UNITS,PARIS,2019-09-24T19:45:22.000+0530,2024-04-16T23:20:10.142+0530,GIV,4a215e65-8517-4ce3-9ea0-1c8113186980,2024-04-16T22:53:05.813+0530
add0343d-5a76-434a-a858-4343fc301c6d,PARIS_EOM###CL###3002,SKU001,NEW,ATP,ABSOLUTE,111.0,UNITS,PARIS,2019-09-24T19:45:22.000+0530,2024-04-16T23:23:01.161+0530,GIV,4a215e65-8517-4ce3-9ea0-1c8113186980,2024-04-16T22:53:05.813+0530
fdacaaa9-3a6f-40b8-b6c4-83c9a2297d84,PARIS_EOM###CL###3002,SKU001,NEW,ATP,ABSOLUTE,111.0,UNITS,PARIS,2024-08-24T19:45:22.000+0530,2024-04-16T23:26:54.753+0530,GIV,4a215e65-8517-4ce3-9ea0-1c8113186980,2024-04-16T22:53:05.813+0530
b59375e0-ef9e-4477-a8e7-42f7b599d846,PARIS_EOM###CL###3002,SKU001,NEW,ATP,ABSOLUTE,111.0,UNITS,PARIS,2024-04-16T23:46:22.000+0530,2024-04-16T23:32:04.444+0530,GIV,4a215e65-8517-4ce3-9ea0-1c8113186980,2024-04-16T22:53:05.813+0530
64d4a366-1168-40c2-9d5a-204266255d6c,PARIS###CL###2000,SKU9001,NEW,ATP,ABSOLUTE,100.0,UNITS,PARIS_EOM,2024-04-17T11:00:30.000+0530,2024-04-17T10:51:38.624+0530,GIV,7ffb0dc8-232d-4b2d-822f-1c7bd22722a1,2024-04-17T10:51:38.534+0530
644a4782-de91-4e94-8340-46748a4a5dad,PARIS###CL###2000,SKU9000,NEW,ATP,ABSOLUTE,100.0,UNITS,PARIS_EOM,2024-04-17T11:00:30.000+0530,2024-04-17T11:00:50.210+0530,GIV,069cb718-0596-4637-b08e-9570436ccbe7,2024-04-17T11:00:50.206+0530
5e705e22-249f-4652-9b26-7b4c693a75a2,PARIS###CL###2000,SKU9000,NEW,ATP,ABSOLUTE,100.0,UNITS,PARIS_EOM,2024-04-17T11:00:30.000+0530,2024-04-17T11:00:56.204+0530,GIV,14890161-8962-4403-a261-e4e9aa338429,2024-04-17T11:00:56.202+0530
264ea32f-329c-4a30-86c6-68c9509c8d29,PARIS###CL###2000,SKU9000,NEW,ATP,ABSOLUTE,300.0,UNITS,PARIS_EOM,2024-04-17T11:13:30.000+0530,2024-04-17T11:14:52.246+0530,GIV,e1279f23-ae95-4eed-a01d-ceae2ffbf5a7,2024-04-17T11:14:52.236+0530
588de341-8706-45a3-ba81-b0ad82a1a330,PARIS###CL###2000,SKU9000,NEW,ATP,ABSOLUTE,100.0,UNITS,PARIS_EOM,2024-04-17T11:00:30.000+0530,2024-04-17T11:17:42.780+0530,GIV,2d968c59-3cbd-4ba3-bd04-4a860713a673,2024-04-17T11:17:42.778+0530
