"id","supply_summary_id","supply_activity_item_log_id","supply_activity_item_log_created_at","ignored_reason","created_at","created_by"
"3171006c-9ac6-4041-8697-0169a2acde52","06041bed-05dd-4c58-9d5a-8bff0f3fe650",febe0fc5-3846-44fc-b7fd-e2395dd31478,2024-04-16 17:42:00.200 +0530,Database has the latest updated value,2024-04-16 17:42:00.209 +0530,GIV
aa98ffdc-75f0-4ca4-99ac-bc05124f0c73,e48e0e36-bd3e-443f-87bb-e29e0242b047,"33e3b524-5ea2-42ee-9bc8-f26981beb6a1",2024-04-16 18:49:43.716 +0530,Database has the latest updated value,2024-04-16 18:49:43.724 +0530,GIV
"599a1bca-8092-4c23-bd10-e9ed2c6d6b73",e48e0e36-bd3e-443f-87bb-e29e0242b047,"0708f4ef-3004-43a1-b6cd-2af4d3869cfb",2024-04-16 18:50:37.935 +0530,Database has the latest updated value,2024-04-16 18:50:37.941 +0530,GIV
"963d90cb-fde7-43c0-ac76-9392ea6cff1e",c7bb1994-73b6-4288-a317-f92c81df3f46,"588de341-8706-45a3-ba81-b0ad82a1a330",2024-04-17 11:17:42.780 +0530,Database has the latest updated value,2024-04-17 11:17:42.787 +0530,GIV
"3ffdc849-9144-465d-9a5e-22586a884de5","13481cea-a938-4ea5-b2ea-72d0077eabfa","1657ee88-5d74-45fa-bdde-ee740e8df619",2024-04-18 12:51:19.504 +0530,Database has the latest updated value,2024-04-18 12:51:19.515 +0530,GIV
"1673cf82-9351-4820-9ca1-194efed43e6f","13481cea-a938-4ea5-b2ea-72d0077eabfa",b67b130f-20d7-4486-a7c8-febab32b0814,2024-04-18 12:53:53.318 +0530,Database has the latest updated value,2024-04-18 12:53:53.334 +0530,GIV
b34742c4-340c-48db-8c2e-c29c6f2d8293,d6183425-a362-4a04-80d3-8e7b32aac139,"93314ea8-d565-4417-b92c-5486534eae24",2024-04-18 18:06:14.957 +0530,Database has the latest updated value,2024-04-18 18:06:14.961 +0530,GIV
"6d2bd473-b410-41d0-81fe-53a9a55baec1",dc77dbdf-1b98-404e-96e4-4e651003c169,"61b7fbcf-d9e2-4800-9f7f-97a98716ae96",2024-04-26 14:59:36.470 +0530,Database has the latest updated value,2024-04-26 14:59:36.478 +0530,GIV
"097bec1a-0ba2-4b10-92a1-78bfe634d5d7","8ab2eea5-88f7-4a00-96f3-4f775f59f45d",ea722989-a25f-470a-b966-238ca04a2478,2024-04-29 11:33:30.516 +0530,Database has the latest updated value,2024-04-29 11:33:30.530 +0530,GIV
c33ea059-e2d3-456b-b98d-e3c5f6d5cb2a,"4878af5a-eca8-4820-857b-f95d12929270",d8c2922c-3e97-4f54-90e7-bdfca9ba5664,2024-04-29 22:07:39.698 +0530,Database has the latest updated value,2024-04-29 22:07:39.712 +0530,GIV
